품목,세부,마트,"무게 (g, ml)",수량 (EA),단가 (원),가격 (원),"단가 (100 g, ml당 가격)",날짜
수박,10kg 이상,킴스클럽,,1,"17,990","17,990",#DIV/0!,20240721
초코아몬드,오그래놀라 팝 초코아몬드 370g,킴스클럽,370,1,"4,790","4,790",1294.594595,20240721
감자,,킴스클럽,,1,429,429,#DIV/0!,20240721
사과,못나도 맛있는 사과봉,킴스클럽,,1,"7,990","7,990",#DIV/0!,20240721
방울토마토,대추방울토마토 550g,킴스클럽,550,1,"3,990","3,990",725.4545455,20240721
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20240721
두부,풀무원 유기농 두부 부침용 290g (1+1),킴스클럽,580,2,"1,795","3,590",309.4827586,20240721
쌈묶음,친환경 엽채류,킴스클럽,,1,"4,590","4,590",#DIV/0!,20240726
숙주,행복한콩 아삭통통 숙주 380g,킴스클럽,380,1,"1,890","1,890",497.3684211,20240725
팽이버섯,팽이버섯 봉 (국산),킴스클럽,,2,500,"1,000",#DIV/0!,20240725
컵누들 마라탕,오뚜기 컵누들 마라탕,킴스클럽,,1,"1,290","1,290",#DIV/0!,20240725
앞다리살,산소포장_냉장 앞다리 불고기 600g,킴스클럽,600,1,"10,990","1,290",1831.666667,20240725
우유,대니쉬 건강한 우유 900ml (1+1),킴스클럽,900,1,"2,295","4,590",255,20240726
부채살,미국산 앵거스 부채살,킴스클럽,,1,"17,800","17,800",#DIV/0!,20240726
가지,신선 가지,킴스클럽,,1,800,800,#DIV/0!,20240730
두부,소가부침 두부 300g,킴스클럽,300,1,"1,490","1,490",496.6666667,20240730
우삼겹,미국산 돌돌말이 우삼겹 450g,킴스클럽,450,1,"10,990","10,990",2442.222222,20240730
도넛,아몬드 오븐도넷 8입,킴스클럽,,1,"5,990","5,990",#DIV/0!,20240730
방울토마토,대추방울토마토 550g,킴스클럽,550,1,"4,990","4,990",907.2727273,20240730
우유,오프라이스 연세 목장우유 900ml,킴스클럽,900,1,"3,990","3,990",443.3333333,20240801
먹태깡,농심 먹태깡 청양마요맛 60g (280원 할인),킴스클럽,60,1,990,990,1650,20240802
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20240802
두부,오아시스 시골두부 부침_찌개겸용,킴스클럽,,2,"1,690","3,380",#DIV/0!,20240802
분모자,즉석 넙적 분모자 250g,킴스클럽,250,1,"1,990","1,990",796,20240802
목심살,국내산 한돈 대패 목심살 500g,킴스클럽,500,1,"9,990","9,990",1998,20240805
감자,감자벌크,킴스클럽,,1,850,850,#DIV/0!,20240811
사과,연두사과,킴스클럽,,1,"6,990","6,990",#DIV/0!,20240811
가지,신선 가지,킴스클럽,,2,800,"1,600",#DIV/0!,20240811
김,양반 참기름 식탁김 16p,킴스클럽,,2,"3,995","7,990",#DIV/0!,20240817
계란,무항생제 신선특란 30입,킴스클럽,,1,"6,990","6,990",#DIV/0!,20240817
사과,연두사과,킴스클럽,,1,"7,990","7,990",#DIV/0!,20240817
두부,오아시스 시골두부 부침_찌개겸용,킴스클럽,,1,"1,450","1,450",#DIV/0!,20240817
숙주,소가 아삭숙주 350g,킴스클럽,350,1,"1,790","1,790",511.4285714,20240817
양파,양파1.5kg(중),킴스클럽,1500,1,"2,990","2,990",199.3333333,20240817
방울토마토,대추방울토마토 1kg,킴스클럽,1000,1,"6,990","6,990",699,20240817
참치캔,동원살코기참치135g*3+고추135g*2,킴스클럽,,1,"9,990","9,990",#DIV/0!,20240817
팥빙수,롯데 일품밭빙수 960ml (4개),킴스클럽,960,1,"5,990","5,990",623.9583333,20240820
설렁탕,오프라이스 한촌설렁탕 정통설렁탕,킴스클럽,500,1,"2,990","2,990",598,20240820
순두부,행복한콩 고소한 순두부 350g,킴스클럽,350,1,"1,090","1,090",311.4285714,20240820
곰탕,비비고 사골곰탕 500g,킴스클럽,500,1,"1,090","1,090",218,20240820
넓은당면,오뚜기 중국식 18mm 넓은당면 300g,킴스클럽,300,1,"5,990","5,990",1996.666667,20240820
두부면,풀무원 두부면(넓은면),킴스클럽,,1,"2,590","2,590",#DIV/0!,20240820
팽이버섯,팽이버섯 봉 (국산),킴스클럽,,1,500,500,#DIV/0!,20240820
자두,달콤 단단 자두 팩 (특대),킴스클럽,,1,"7,990","7,990",#DIV/0!,20240803
다진마늘,다진마늘 (나물투데이),킴스클럽,,1,"5,905","5,905",#DIV/0!,20240803
수박,당도선별 못난이 흑미수박 9kg 미만,킴스클럽,,1,"19,990","19,990",#DIV/0!,20240803
참치액,동원 참치액 600g,킴스클럽,600,1,"3,990","3,990",665,20240823
깐마늘,깐마늘 200g (봉),킴스클럽,200,1,"2,590","2,590",1295,20240823
방울토마토,컬러 대추방울토마토 500g,킴스클럽,500,1,"4,290","4,290",858,20240823
메추리알,무항생제 메추리 유정란 56입,킴스클럽,,1,"6,990","6,990",#DIV/0!,20240823
우둔살,오아시스 우둔 장조림,킴스클럽,,1,"13,770","13,770",#DIV/0!,20240823
쌈채,나물투데이 쌈채,킴스클럽,,1,"2,590","2,590",#DIV/0!,20240823
숙주,행복한콩 아삭통통 숙주 380g,킴스클럽,380,1,"1,890","1,890",497.3684211,20240823
엽채류,친환경 엽채류,킴스클럽,,1,"4,990","4,990",#DIV/0!,20240823
두부면,풀무원 두부면(넓은면),킴스클럽,,1,"2,590","2,590",#DIV/0!,20240823
우삼겹,미국산 돌돌말이 우삼겹 450g,킴스클럽,450,1,"10,900","10,900",2422.222222,20240823
샤인머스캣,샤인머스캣 점보송이,킴스클럽,,1,"8,990","8,990",#DIV/0!,20240827
가지,신선 가지,킴스클럽,,2,700,"1,400",#DIV/0!,20240830
체다치즈,서울우유 체다슬라이스 270g*2,킴스클럽,,1,"7,990","7,990",#DIV/0!,20240830
앞다리살,산소포장_냉장 앞다리 불고기 600g,킴스클럽,600,1,"11,990","11,990",1998.333333,20240830
파프리카,오아시스 파프리카 (노랑),킴스클럽,,1,"1,800","1,800",#DIV/0!,20240831
감자,,킴스클럽,,1,782,782,#DIV/0!,20240831
방울토마토,컬러 대추방울토마토 500g,킴스클럽,500,1,"4,990","4,990",998,20240831
컵누들 베트남쌀국수,오뚜기 컵누들 베트남쌀국수,킴스클럽,,1,798,798,#DIV/0!,20240904
컵누들 잔치국수,오뚜기 컵누들 잔치쌀국수,킴스클럽,,1,798,798,#DIV/0!,20240904
컵누들 우동,오뚜기 컵누들 우동,킴스클럽,,1,798,798,#DIV/0!,20240904
사과대추,사과대추 500g 팩 국산,킴스클럽,500,1,"12,990","12,990",2598,20240906
목심,오아시스 목심 구이용,킴스클럽,,1,"10,000","10,000",#DIV/0!,20240906
삼겹살,오아시스 삼겹살 구이용,킴스클럽,,1,"11,610","11,610",#DIV/0!,20240906
포카칩,오리온 포카칩 스윗치즈 45g,킴스클럽,45,1,"1,000","1,000",2222.222222,20240906
쌈총사,오아시스 무농약 쌈총사,킴스클럽,,1,"2,392","2,392",#DIV/0!,20240906
새우깡,새우깡 4번들 360g,킴스클럽,360,1,"7,980","7,980",2216.666667,20240906
팽이버섯,팽이버섯 봉 (국산),킴스클럽,,1,500,500,#DIV/0!,20240907
샤인머스캣,샤인머스캣 박스 국산,킴스클럽,,1,"19,990","19,990",#DIV/0!,20240907
두부,소가부침 두부 300g,킴스클럽,300,2,"1,490","2,980",496.6666667,20240908
쌈총사,오아시스 무농약 쌈총사,킴스클럽,,1,"2,392","2,392",#DIV/0!,20240911
계란,무항생제 신선특란 30입,킴스클럽,30,1,"6,990","6,990",23300,20240913
부추,나물투데이 생나물류,킴스클럽,,1,"2,990","2,990",#DIV/0!,20240915
메추리알,풀깐메추리알 영양란 270g,킴스클럽,270,1,"4,990","4,990",1848.148148,20240918
진간장,샘표 진간장 금S 1.7L,킴스클럽,1700,1,"4,990","4,990",293.5294118,20240918
짜왕,농심 짜왕 134g *4,이마트,,4,"1,325","5,300",#DIV/0!,20240918
물티슈,노브랜드대용량물티슈,이마트,,2,980,"1,960",#DIV/0!,20240918
두부,소가부침 두부 300g,킴스클럽,300,1,"1,490","1,490",496.6666667,20240921
콩나물,오아시스 친환경 맑은콩 콩나물,킴스클럽,,1,"1,300","1,300",#DIV/0!,20240921
팥빙수,롯데 일품밭빙수 240ml,킴스클럽,240,2,"1,790","3,580",745.8333333,20240921
사과,오아시스 GAP 가야산홍로1KG(4-6과),킴스클럽,1000,1,"7,990","7,990",799,20240926
두부,풀무원 국산콩두부(부침+찌개) 600g,킴스클럽,600,2,"2,495","4,990",415.8333333,20240927
양파,양파2kg,롯데슈퍼,2000,1,"3,990","3,990",199.5,20240929
송이버섯,GAP 친환경 새송이버섯 2개입,롯데슈퍼,,2,"1,095","2,190",#DIV/0!,20240929
마라샹구리,농심마라샹구리큰사발1개입,롯데슈퍼,,1,"1,650","1,650",#DIV/0!,20240929
신라면툼바,농심신라면툼바큰사발1개입,롯데슈퍼,,1,"1,460","1,460",#DIV/0!,20240929
대파,산지직송 흙대파 900g,킴스클럽,900,1,"3,590","3,590",398.8888889,20140929
다진마늘,다진마늘 (나물투데이),킴스클럽,,1,"3,989","3,989",#DIV/0!,20140929
차돌박이,오아시스 차돌박이 (냉동),킴스클럽,,1,"23,700","23,700",#DIV/0!,20241005
발사믹,바쏘 발사믹식초 250ml,킴스클럽,250,1,"2,990","2,990",1196,20241005
사과,오아시스 GAP 가야산홍로1KG(4-6과),킴스클럽,,1,"6,392","6,392",#DIV/0!,20241005
토마토,오아시스 GAP 싱싱 완숙토마토 1KG,킴스클럽,1000,1,"8,990","8,990",899,20241005
샤인머스캣,샤인머스캣 점보송이,킴스클럽,,1,"7,990","7,990",#DIV/0!,20241005
사과,사과(팩) 국산 (C),킴스클럽,,2,"5,990","11,980",#DIV/0!,20241005
숙주,행복한콩 아삭통통 숙주 200g,킴스클럽,200,1,"1,290","1,290",645,20241005
깻잎,한끼 깻잎 (봉),킴스클럽,,1,990,990,#DIV/0!,20241005
파마산치즈,멜오에이지 파마산치즈 227g,킴스클럽,227,1,"6,990","6,990",3079.295154,20241012
파프리카,신선 파프리카,킴스클럽,,2,"1,260","2,520",#DIV/0!,20241012
가지,신선 가지,킴스클럽,,2,900,"1,800",#DIV/0!,20241012
팥빙수,롯데 일품밭빙수 240ml,킴스클럽,,2,"1,790","3,580",#DIV/0!,20241013
두부면,풀무원 두부면(넓은면),킴스클럽,,1,"2,590","2,590",#DIV/0!,20241013
팽이버섯,팽이버섯 봉 (국산),킴스클럽,,1,500,500,#DIV/0!,20241013
청양고추,실속 청양고추 200g (봉),킴스클럽,200,1,"2,240","2,240",1120,20241013
우삼겹,미국산 돌돌말이 우삼겹 450g,킴스클럽,450,1,"10,990","10,990",2442.222222,20241013
목심살,국내산 한돈 대패 목심살 500g,킴스클럽,500,1,"9,990","9,990",1998,20241013
숙주,행복한콩 아삭통통 숙주 380g,킴스클럽,380,1,"1,790","1,790",471.0526316,20241020
메론,프레쉬팜 달콤허니듀메론 500g,킴스클럽,500,1,"7,990","7,990",1598,20241020
파인애플,갓 썰은 고당도 파인애플,킴스클럽,,1,"3,192","3,192",#DIV/0!,20241020
가지,신선 가지,킴스클럽,,2,700,"1,400",#DIV/0!,20241020
계란,무항생제 신선특란 30입,킴스클럽,,1,"5,990","5,990",#DIV/0!,20241020
연시,오아시스 청도반시 (연시) 6입 800g,킴스클럽,800,1,"4,990","4,990",623.75,20241020
다진마늘,다진마늘 (나물투데이),킴스클럽,,1,"5,025","5,025",#DIV/0!,20241020
차돌박이,미국산 돌돌말이 차돌박이 500g,킴스클럽,500,1,"15,990","15,990",3198,20241025
연어,훈제 연어 슬라이스 180g,킴스클럽,180,1,"9,990","9,990",5550,20241025
양배추,양배추 (통),킴스클럽,,1,"2,990","2,990",#DIV/0!,20241025
케이퍼,케이퍼 홀스래디쉬소스,킴스클럽,,1,"1,590","1,590",#DIV/0!,20241025
쌈총사,오아시스 무농약 쌈총사 120g,킴스클럽,120,1,"3,200","3,200",2666.666667,20241025
토마토,오아시스 GAP 싱싱 완숙토마토 1KG,킴스클럽,1000,1,"10,990","10,990",1099,20241025
숙주,행복한콩 아삭통통 숙주 380g,킴스클럽,380,1,"3,990","3,990",1050,20241030
올리브,로레토 그린피티드올리브 330g,킴스클럽,330,1,"2,990","2,990",906.0606061,20241030
사과,단일과일 바로먹는 사과 250g,킴스클럽,250,1,"2,495","2,495",998,20241030
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20241102
적상추,적상추 100g (봉),킴스클럽,100,1,"5,990","5,990",5990,20241102
삼겹살,킴스클럽 1등급 삼겹살 (냉장),킴스클럽,,1,"17,750","17,750",#DIV/0!,20241102
우삼겹,호주산냉동우삼겹 3.3k,트레이더스,3300,1,"47,980","47,980",1453.939394,20241109
쌈총사,오아시스 무농약 쌈총사 120g,킴스클럽,120,1,"3,200","3,200",2666.666667,20241110
숙주,나물투데이 생나물류,킴스클럽,,1,"1,990","1,990",#DIV/0!,20241110
숙주,소가 아삭숙주 350g,킴스클럽,350,1,"1,393","1,393",398,20241122
돈까스소스,백설 돈까스 소스 255g,킴스클럽,255,1,"2,790","2,790",1094.117647,20241123
다진마늘,다진마늘 (나물투데이),킴스클럽,,1,"6,838","6,838",#DIV/0!,20241126
쌈총사,오아시스 무농약 쌈총사 120g,킴스클럽,120,1,"3,200","3,200",2666.666667,20241126
오겹살,산소포장_제주돼지 한판오겹살 500g,킴스클럽,500,1,"12,792","12,792",2558.4,20241126
레몬,레몬 팩,킴스클럽,,1,"1,990","1,990",#DIV/0!,20241214
쌈총사,오아시스 친환경 쌈총사 120g,킴스클럽,120,1,"2,990","2,990",2491.666667,20241214
방울토마토,토망고 대추방울토마토 500g,킴스클럽,500,1,"5,990","5,990",1198,20241220
컵떡볶이,비비고 컵떡볶이 110g,킴스클럽,108,1,"2,495","2,495",2310.185185,20241220
사과,대용량 못난이 사과,킴스클럽,,1,"9,990","9,990",#DIV/0!,20241220
모짜렐라,덴마크 후레쉬 모짜렐라 미니 125g,킴스클럽,125,1,"5,590","5,590",4472,20241220
새우탕,농심 새우탕 큰사발 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
튀김우동,농심 튀김우동 큰사발 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
짜파게티,농심 짜파게티 큰사발 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
김치 왕뚜껑,팔도 김치 왕뚜껑 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
왕두껑,팔도 왕뚜껑 컵,킴스클럽,,1,"1,290","1,290",#DIV/0!,20241227
숙주,행복한콩 아삭통통 숙주 500g,킴스클럽,500,1,"2,990","2,990",598,20250107
알배추,실속 알배기(통),킴스클럽,,1,"2,590","2,590",#DIV/0!,20250107
쌈총사,오아시스 친환경 쌈총사 120g,킴스클럽,120,1,"2,990","2,990",2491.666667,20250108
삼겹살,오아시스 삼겹살 구이용,킴스클럽,,1,"12,900","12,900",#DIV/0!,20250108
비빔면,팔도 비빔면 4입 + 2,킴스클럽,,4,997.5,"3,990",#DIV/0!,20250111
사과,오아시스 GAP 희여골 못난이사과 1.5,킴스클럽,1500,1,"8,990","8,990",599.3333333,20250111
치즈,인포켓치즈 200g,킴스클럽,200,1,"6,990","6,990",3495,20250111
김치,종가 포기김치 3kg,킴스클럽,3000,1,"22,990","22,990",766.3333333,20250111
오레오오즈,포스트 오레오오즈 500g,킴스클럽,500,1,"9,990","9,990",1998,20250118
사과,못난이 왕사과 봉(4입),킴스클럽,,1,"6,988","6,988",#DIV/0!,20250118
깐마늘,깐마늘 200g (봉),킴스클럽,200,1,"2,990","2,990",1495,20250118
방울토마토,토망고 대추방울토마토 500g,킴스클럽,500,1,"4,995","4,995",999,20250118
방울토마토,컬러 대추방울토마토 500g,킴스클럽,500,1,"4,995","4,995",999,20250118
